"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"98","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tsyg (OK) Near Coast of S. Australia MLv 3.9 2016/10/07 17:55:12 https://t.co/bSslAbf9Fq https://t.co/zfGg0eNQKd",FALSE,0,NA,2016-10-07 22:10:52,FALSE,NA,"784516366535581696",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"99","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tstm (OK) Off W. Coast N. Sumatra MLv 4.5 2016/10/07 15:27:51 https://t.co/cOvjEvUBPf https://t.co/7yweTN3khX",FALSE,0,NA,2016-10-07 21:48:32,FALSE,NA,"784510747212591104",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"100","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tssh (OK) Off E. Coast of N. Is., NZ MLv 4.4 2016/10/07 14:52:20 https://t.co/4QE3iTGc2J https://t.co/RmwhuO8SBn",FALSE,0,NA,2016-10-07 21:46:52,FALSE,NA,"784510328411348993",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"101","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016trbz (OK) Fiji Islands Region mb 4.2 2016/10/06 17:29:55 https://t.co/0Hhp1MY0Ei https://t.co/k38bBCIEOV",FALSE,0,NA,2016-10-06 22:49:53,FALSE,NA,"784163799481712641",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"102","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tqyl (OK) SE of Loyalty Islands MLv 3.3 2016/10/06 15:42:10 https://t.co/DODnZhvzQC https://t.co/y8tndXf2mT",FALSE,0,NA,2016-10-06 22:00:41,FALSE,NA,"784151416726171648",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"103","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tqyk (OK) East of North Island, N.Z. MLv 4.6 2016/10/06 15:40:29 https://t.co/dVRJMuyfZv https://t.co/XZLY2rsup3",FALSE,0,NA,2016-10-06 21:57:01,FALSE,NA,"784150494893617152",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"104","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tqxg (OK) Santa Cruz Islands Region MLv 5.2 2016/10/06 15:08:57 https://t.co/ZuQeryTz0U https://t.co/opoMuy6Eq9",FALSE,0,NA,2016-10-06 21:53:43,FALSE,NA,"784149662777303040",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"105","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tqnx (OK) Southeast of Honshu, Japan mb 5.3 2016/10/06 10:23:00 https://t.co/xKGsamx62r https://t.co/u4tVwA6f8N",FALSE,0,NA,2016-10-06 21:39:55,FALSE,NA,"784146192259096576",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"106","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tqih (OK) Off E. Coast of N. Is., NZ MLv 4.3 2016/10/06 07:33:00 https://t.co/tXhM0nWizd https://t.co/CRx6fke682",FALSE,0,NA,2016-10-06 21:26:33,FALSE,NA,"784142828792229888",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"107","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tqgb (OK) Loyalty Islands MLv 2.4 2016/10/06 06:28:28 https://t.co/BwLjTN4lwe https://t.co/i6Awex1k4m",FALSE,0,NA,2016-10-06 21:24:49,FALSE,NA,"784142393347936256",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
"108","#earthquake #<U+C9C0><U+C9C4> #<U+5730><U+9707> ird2016tpyd (OK) Mindanao, Philippines mb 5.1 2016/10/06 02:25:19 https://t.co/y5UvkjceDU https://t.co/1u60wggpZO",FALSE,0,NA,2016-10-06 05:19:21,FALSE,NA,"783899424372117506",NA,"<a href=""http://www.seisme.nc"" rel=""nofollow"">Twurl2</a>","NCseismicobserv",0,FALSE,FALSE,NA,NA
